Unnamed: 0,MB,glutamate,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
C2R13,,3.1208988323026112,3.649347648327761,,,3.313137193666609,4.4701314284595055,,,
C2R21,13.486322543612342,3.4570891014367287,0.0819839889296213,,3.400522589668648,0.1533118028284395,,,,
C3M06,,1.9442624535245512,3.229862477256201,,4.545487132001441,3.435638862881102,3.0588883205246797,,,
C3M08,10.860470443627904,3.931597505703609,0.2257278277816339,2.619361979311042,3.6631185566045024,0.264335674715427,,,,
C3M10,15.566843933910974,4.694124019874564,0.14790566682523,,2.39617082178688,0.1586624289347761,,,,
C3R10,3.177025117783021,,,,,,,1.5600919525805643,,
C3R12,8.454034665950427,0.3119069788227646,3.6006941544171545,,1.8749738488568823,4.2417743632651135,,,5.963980738846586,
D2M19,7.970874691131852,,3.775820756360345,2.4531270176969606,,,,,,
D2R04,5.480883158380511,5.894268357747493,3.5855658265231467,3.940046760571668,3.89559403938872,4.983836201874848,,,,
D2R18,4.108640921465703,,,,3.4517531066500733,1.6091898607183963,,,,
D2R19,3.988086179501933,,,,0.0709976593128262,2.648384523765804,1.4100853558458173,,,
D3M06,4.881839031014737,3.8091185615839502,,1.3340708165339457,,1.710154800287932,,,,
D3R02,,,,,,2.891711085651966,,,,
E2M05,,,,5.509554870653517,,4.453516166802291,,,,
E2M18,9.657231512819166,0.0546314313316029,0.3859721943993549,,,5.851876462790225,3.6811003131606506,,0.6968338712294078,
E2R12,5.154456160678943,,,,3.5851361821573744,,,,,
E3M02,4.176408947284203,1.988086821232804,3.093519495552898,,2.858226938649689,3.554858669689267,,,,
F1R01,7.93673000804245,0.8192900759364591,,,,,,0.5429520327578796,,
F1R02,9.904745671983942,,4.2179285076253,2.7002000217441218,3.320879233831577,5.142487150979811,,,5.177353860173409,
F1R06,10.265148776454984,4.938738798379631,0.1207631132500127,,4.865266677447469,5.991080164579519,,,,
F2M12,,,,,,,,,,0.4536185440276574
F2R05,4.986878792394635,0.2059064232730866,2.5692320028854927,3.1568760586302127,3.7834661205607674,3.954587345039674,2.587731065459721,,,0.4364087977927221
F2R10,7.625470210028624,5.17168279426878,,,4.4815535279881695,5.58657853224976,,,,0.3352975984810515
F2R13,4.542021216364921,3.026459035200234,0.1603382111218896,2.2282742592254183,3.828634361347264,4.443837117898826,2.0022200086518493,0.0304278821745338,,
F2R14,,4.194075545119176,4.350258449302759,3.1617078559074203,3.6087600878619503,4.925225879612901,,,,
F2R15,12.11596033604724,0.2415233810551626,0.1053648346403032,,2.2053062298124355,6.009271741791869,,,8.148975962715507,
F3M06,,3.0709056611883656,3.119072466538343,0.0281623052360221,3.826724210189405,,3.213807543200665,,0.6270004088394584,
F3M07,8.424519713010758,,,,,,,,3.413977507813431,
F3M13,8.630548423505665,3.676782150828605,4.606464773946033,1.7602358482490754,4.28786002954822,,,,,
G1M02,5.827521499981182,,1.689231091019394,,,,,,2.163847530456277,
G1M14,7.351525558151882,,3.4294738789387256,3.024442151977212,1.6601360037097093,2.906420951188066,,,3.9512926203508063,
G1M15,9.880148953060244,2.5806397759703485,3.265610815362575,,0.0229547151030104,4.312874138989374,,,4.878856552984411,
G2M01,6.201986673208738,3.1205138248891324,4.745262218845559,2.890213664335372,,,,,4.8353458785727135,1.416318127920194
G2M05,,2.558528924428267,,,,3.5323375302002087,,,9.563197796724124,
G2M07,3.863543553279373,,2.642744390384025,,,,,,,
G2R07,5.885909774045247,,1.744992522436194,,,,,,,
G2R13,4.6982881373453935,3.4293731178849263,3.7135852378739433,2.8925673765358533,3.73851896147344,4.075653267788163,1.8826709133474744,3.3603757791224025,,
G2R14,0.332544680114686,0.2830401247963346,2.9500575431632843,3.4420159535843244,3.492890244543977,5.14369169851139,3.9660165819691104,2.685451763617007,,
G3M07,11.607099033592224,,0.1074426294034377,3.8194957687464735,5.575767321023135,8.24070705436116,,2.3528853735790816,6.860556956982745,
G3M13,5.899712736650659,2.6434029956985152,4.208507624889379,4.8979976825423135,3.5191653098828466,,,,4.56161836730977,
